condition_id,condition_name,judge_key,oracle_key,oracle_fraction,oracle_n,estimate,standard_error,ci_lo,ci_hi,raw_mean,shift_vs_raw,ci_contains_estimate
A,judge_continuous + oracle_binary_majority,judge_continuous,oracle_binary_majority,1.0,29501,0.6711936754262802,0.002838122169765535,0.6663507451168238,0.6771357775124603,0.8014901189789169,-0.1302964435526367,True
A,judge_continuous + oracle_binary_majority,judge_continuous,oracle_binary_majority,0.5,14798,0.6736610262396908,0.0037420018506112334,0.6672968170034898,0.6810341003308754,0.8014901189789169,-0.12782909273922605,True
A,judge_continuous + oracle_binary_majority,judge_continuous,oracle_binary_majority,0.25,7406,0.6669788927107757,0.0053747812695479034,0.6560899067338449,0.6773471604634446,0.8014901189789169,-0.13451122626814116,True
A,judge_continuous + oracle_binary_majority,judge_continuous,oracle_binary_majority,0.1,2863,0.6777960488719507,0.009386355465871101,0.659776545535813,0.6955491089749978,0.8014901189789169,-0.1236940701069662,True
A,judge_continuous + oracle_binary_majority,judge_continuous,oracle_binary_majority,0.05,1454,0.6851679457116449,0.012628355139061237,0.6654944612554736,0.7120339516115599,0.8014901189789169,-0.11632217326727201,True
B,judge_binary + oracle_binary_majority,judge_binary,oracle_binary_majority,1.0,29501,0.6711282482283236,0.0028350770993886662,0.6663427160088706,0.6770127816287492,0.6762821599267821,-0.005153911698458469,True
B,judge_binary + oracle_binary_majority,judge_binary,oracle_binary_majority,0.5,14798,0.6728972591550659,0.003611315535043229,0.6669758904679347,0.6792544563730141,0.6762821599267821,-0.0033849007717161594,True
B,judge_binary + oracle_binary_majority,judge_binary,oracle_binary_majority,0.25,7406,0.6662477667511129,0.0049440018071367645,0.6569608261045328,0.6756833210710996,0.6762821599267821,-0.010034393175669232,True
B,judge_binary + oracle_binary_majority,judge_binary,oracle_binary_majority,0.1,2863,0.67366055911925,0.008687706031376518,0.656083496190636,0.6895801955587048,0.6762821599267821,-0.002621600807532043,True
B,judge_binary + oracle_binary_majority,judge_binary,oracle_binary_majority,0.05,1454,0.6791202930250144,0.012192853790005282,0.6592238857833463,0.7037921876184933,0.6762821599267821,0.0028381330982323316,True
C,judge_continuous + oracle_continuous_agreement,judge_continuous,oracle_continuous_agreement,1.0,29501,0.7717275573087043,0.002030961716733367,0.7685477936368815,0.7758199766001601,0.8014901189789169,-0.029762561670212517,True
C,judge_continuous + oracle_continuous_agreement,judge_continuous,oracle_continuous_agreement,0.5,14798,0.7737520377487729,0.0025991318133773535,0.7692849677385497,0.7790136994285738,0.8014901189789169,-0.027738081230143985,True
C,judge_continuous + oracle_continuous_agreement,judge_continuous,oracle_continuous_agreement,0.25,7406,0.7699743863439146,0.0038551678146077047,0.7628466959912077,0.77747947137679,0.8014901189789169,-0.03151573263500229,True
C,judge_continuous + oracle_continuous_agreement,judge_continuous,oracle_continuous_agreement,0.1,2863,0.7751795526726032,0.006840374428328377,0.7621095013005006,0.7876493523828161,0.8014901189789169,-0.026310566306313676,True
C,judge_continuous + oracle_continuous_agreement,judge_continuous,oracle_continuous_agreement,0.05,1454,0.778675720340878,0.009982176406984828,0.7605118771844028,0.7993385199631339,0.8014901189789169,-0.022814398638038913,True
D,judge_binary + oracle_continuous_agreement,judge_binary,oracle_continuous_agreement,1.0,29501,0.7717754711448065,0.0020332179193733473,0.768547393717883,0.7757849747304567,0.6762821599267821,0.0954933112180244,True
D,judge_binary + oracle_continuous_agreement,judge_binary,oracle_continuous_agreement,0.5,14798,0.7731556059928061,0.0024821959369325523,0.7689238521446536,0.7775865398435825,0.6762821599267821,0.096873446066024,True
D,judge_binary + oracle_continuous_agreement,judge_binary,oracle_continuous_agreement,0.25,7406,0.7690656175711195,0.0035344635235348247,0.7621939908015885,0.7754583467197063,0.6762821599267821,0.09278345764433737,True
D,judge_binary + oracle_continuous_agreement,judge_binary,oracle_continuous_agreement,0.1,2863,0.7724022173441955,0.0061764757281169026,0.7608038177275807,0.7840948677635183,0.6762821599267821,0.09612005741741336,True
D,judge_binary + oracle_continuous_agreement,judge_binary,oracle_continuous_agreement,0.05,1454,0.775653442043414,0.009405132524546507,0.7582574173692039,0.7935881077779068,0.6762821599267821,0.09937128211663193,True
